title,subjects,keywords,cited_by
Evaluation of carrot and agroindustrial residues for obtaining Tenebrio molitor (yellow mealworm) powder enriched in bioaccessible provitamin A and colourless carotenoids,Unknown,None,0
Geraniol and hydrophobic geraniol:thymol eutectic mixtures: Structure and thermophysical characterization,Unknown,None,0
Design of systems for plasma activated water (PAW) for agri-food applications,Unknown,None,2
Optimizing sunflower yield: Understanding pollinator contribution to inform agri-environmental strategies,Unknown,None,0
Why do open-farmland specialist birds prefer small fields? The evaluation of mechanisms using a cross-border study,Unknown,None,0
A cross-regional ecological assessment of contaminants in soils intended for agri-food initiatives on Indigenous Peoples’ lands in Australia and Canada,Unknown,None,0
Food waste and the effects of waste reduction in China's catering industry,Unknown,None,0
The future of artificial intelligence-driven robotics: applications and implications,Unknown,None,0
Externalities and sustainable agri-food system,Unknown,None,0
Nano-enabled strategies in sustainable agriculture for enhanced crop productivity: A comprehensive review,Unknown,None,0
Reusable Immobilized Lactobacillus futsaii CS3 for Enhanced GABA Synthesis using Low-Cost Substrates in Fermenter-Scale Batch and Fed-Batch Fermentations,Unknown,None,0
The role of agricultural cooperatives in mitigating opportunism in the context of complying with sustainability requirements: empirical evidence from Spain,Unknown,None,0
Advancing mango leaf variant identification with a robust multi-layer perceptron model,Unknown,None,0
"Acute study and the absorption, distribution, and metabolomic profile of the natural compound propyl-propane-thiosulfonate from allium in rats",Unknown,None,0
Detecting agri contaminants via nanomaterial immunosensors,Unknown,None,0
Evaluating tracking bifacial solar PV based agrivoltaics system across the UK,Unknown,None,0
Classification and structural analysis of value chain contracts for biodiversity conservation in the European Union,Unknown,None,0
The relationship of firm ownership structure and sustainability performance in agri-food chains: A systematic literature review,Unknown,None,0
Indicators for assessing the multifunctionality of agriculturally used grasslands,Unknown,None,0
"Formulation and testing of cutting-edge food supplements tailored for glucose and oxidation controlling, converting artichoke by-products in inulin-rich antioxidant phytocomplex loaded into zein liposomes",Unknown,None,0
Meat and the future of sustainable diets—Challenges and opportunities,Unknown,None,1
"Impact of urbanization and planting structure on water footprint of food, cash, and feed crops in China's northern agro-pastoral ecotone",Unknown,None,0
Enhancing ecosystem services through direct-seeded rice in middle Indo-Gangetic Plains: a comparative study of different rice establishment practices,Unknown,None,0
Recovery and resilience of rural farms in sicily (Italy): The CoVid-19 pandemic and the Russia-Ukraine conflict,Unknown,None,0
Conilon coffee: A critical review and bibliometric analysis for the agri-food industry,Unknown,None,0
Functional and sensory evaluation of bread made from wheat flour fortified with wine byproducts,Unknown,None,0
An Artemisia Sphaerocephala Krash gum/acrylic acid-based novel eco-friendly superabsorbent polymer: Its synthesis and properties promoting seed germination,Unknown,None,0
Valorization of agri-wastes through microbial consortia and its conversion into bioethanol by co-fermentation method using Saccharomyces cerevisiae NCIM 3594 and Pichia stipitis NCIM 3497 strains,Unknown,None,0
"Are they even there? How agri-environment schemes investments reach their target species in Dutch dairy-farmland, the case of meadow birds",Unknown,None,1
Field margin management for promoting plant diversity—A functional approach to investigating the effects of multiple measures on plant community dynamics,Unknown,None,0
Revolutionizing agri-food technology: Development and validation of the Portable Intelligent Oil Recognition System (PIORS),Unknown,None,0
"Assessing agri-environmental strategies to reduce pesticide concentrations in surface drinking water sources, Coastal Charente River basin, SW France",Unknown,None,0
Enhancing composition and functionality of jelly candies through apple and beetroot pomace flour addition,Unknown,None,0
Development and characterization of whole-grain buckwheat biscuit formula based on extruded 3D printing technology,Unknown,None,0
The disparities in health risks of multiple pollutants through soil and dietary exposure in a rural-urban area based on accessibility method,Unknown,None,0
Resource recovery in line with energy generation at an agro-food industry,Unknown,None,0
"Economic, nutritional, and innovative aspects of non-conventional Brazilian fruits in the international novel foods market",Unknown,None,0
A comprehensive and single-use foot-and-mouth disease sero-surveillance prototype employing rationally designed multiple viral antigens,Unknown,None,0
A toxic relationship: ultra-processed foods &amp; plastics,Unknown,None,0
How to improve the sustainability of food security? A new perspective on competition in the spatial utilization of cultivated land between food crops and cash crops,Unknown,None,0
Sustainable poly(lactic acid) transformation: Leveraging agri-food waste—compatibilization strategies nexus for enhanced properties,Unknown,None,0
The carbon footprint of fruits: A systematic review from a life cycle perspective,Unknown,None,0
"Towards planetary boundary sustainability of food processing wastewater, by resource recovery &amp; emission reduction: A process system engineering perspective",Unknown,None,0
Agrarian transformation and rural community food security in the lower Gangetic basin: A household survey dataset,Unknown,None,0
Data on the effects of a vertical agrivoltaic system on crop yield and nutrient content of barley (Hordeum vulgare L.) in Sweden,Unknown,None,0
“Eat up. Save Earth.” Alternative proteins and the myth of inevitable sustainability,Unknown,None,0
Digital sustainability tracing in smallholder context: Ex-ante insights from the Peruvian cocoa supply chain,Unknown,None,0
Circumstantial factors and local collaboration determine farmers' perceptions and practices on circular bioeconomy – examples from Southern Sweden,Unknown,None,0
Farm-level acceptability of contract attributes in agri-environment-climate measures for biodiversity conservation,Unknown,None,0
Sustainable management of rosemary wastewater and essential oil in agri-environmental bioprocessing,Unknown,None,1
Towards strategic interventions for global food security in 2050,Unknown,None,0
Foraging distance distributions reveal how honeybee waggle dance recruitment varies with landscape,Unknown,None,0
Outcomes of an agri-environmental scheme in the management of common pastures in northern Portugal: Social benefits and effects on local capacity for collective action,Unknown,None,0
Improving ecosystem services through applied agroecology on German farms: costs and benefits,Unknown,None,0
Microbial enzymes and major applications in the food industry: a concise review,Unknown,None,0
Regional development and intellectual capital: Unveiling the innovation-tradition dilemma,Unknown,None,0
Vertical price transmission in agricultural markets in Ghana,Unknown,None,0
An economic perspective of the circular bioeconomy in the food and agricultural sector,Unknown,None,0
Measurement of fertilizer flows to advance circularity and resilience to climate change,Unknown,None,0
Optimization of agrifood supply chains using Hyperledger Fabric blockchain technology,Unknown,None,0
Food and the forest: A spatial analysis on the nexus between foreign direct investment and deforestation,Unknown,None,0
Advancing sustainable agriculture: Converting dairy wastes into amino acid fertilizers,Unknown,None,0
Optimization of bacteriophage propagation in high-yield continuous culture (cellstat) meeting the constraints of industrial manufacturing processes,Unknown,None,0
Investigating the impact of the internet on managing green financial innovation and improving agricultural conditions in water-scarce Asian regions using ANN modeling,Unknown,None,0
Agri-SME managers' perception of financial management practices in Tanzania,Unknown,None,0
Analysis of EU RASFF notifications on genetically modified food and feed from 2002 to 2023,Unknown,None,0
A new dataset on climate distance for trade analyses,Unknown,None,0
"A case study on the impact of coppicing on small mammal diversity: First evidence from the high Agri Valley in the Basilicata Region, Italy",Unknown,None,0
A soft processing technology for the extraction of cellulose from plant residues and agri-food wastes,Unknown,None,0
Phenolic compounds from macadamia husk: An updated focused review of extraction methodologies and antioxidant activities,Unknown,None,0
Sustainable energy transition: A steam system optimization case study from a Moroccan food industry,Unknown,None,0
Transitioning to sustainable food systems in a changing climate and gender equality: a brief review,Unknown,None,0
Allowing for the multifunctionality of agroforestry systems – lessons from a legal perspective with a focus on Germany,Unknown,None,0
"Re-examining virtual water transfer in the Yellow River Basin, China",Unknown,None,0
"Bioactive compounds and digestible starch variability of rice, maize, green gram, and soy grains with different levels of germination",Unknown,None,0
The future of agricultural data-sharing policy in Europe: stakeholder insights on the EU Code of Conduct,Unknown,None,0
Effective Engagement Techniques Across the Agricultural Conservation Practice Adoption Process,Unknown,None,0
Dairy liquid waste as substrate to obtain biotechnological chondroitin: A circular economy approach,Unknown,None,0
A dataset of crop succession indicators for 2015–2021,Unknown,None,0
"Gender differences in rice production participation among smallholder farmers in small-scale irrigation schemes in mbarali district, Tanzania",Unknown,None,0
The trade of algae for human consumption: The common market competitiveness and impacts of the European Union legislation,Unknown,None,0
Farmers' attitudes toward the use of digital technologies in the context of agri-environmental policies,Unknown,None,0
Embedding Water-Energy-Food nexus and circularity assessment for organization benchmarking: A case study for dairy farms,Unknown,None,0
How carbon sources drive cellulose synthesis in two Komagataeibacter xylinus strains,Unknown,None,0
Weathering market swings: Does climate risk matter for agricultural commodity price predictability?,Unknown,None,0
"Sustainability transitions in the agri-food system: Evaluating mitigation potentials, economy-wide effects, co-benefits and trade-offs for the case of Austria",Unknown,None,0
Assessment of potato surpluses as eco-friendly adsorbent for removal of Orange II: optimization and kinetic modelling at different pH values,Unknown,None,0
"Correction to: Has transformation of food systems reached an impasse? Considerations on the role of agri-food research (Agricultural and Food Economics, (2024), 12, 1, (26), 10.1186/s40100-024-00308-8)",Unknown,None,0
Extraction of entity relationships serving the field of agriculture food safety regulation,Unknown,None,0
Organic farming is more related to topography than to soil characteristics in extensively and intensively managed grasslands in Switzerland,Unknown,None,1
Bacillus velezensis: a versatile ally in the battle against phytopathogens—insights and prospects,Unknown,None,1
Principles for delivering transformative co-design methodologies with multiple stakeholders for achieving nature recovery in England,Unknown,None,1
A hybrid reanalysis-forecast meteorological forcing data for advancing climate adaptation in agriculture,Unknown,None,1
Food security and large-scale land acquisitions by sovereign wealth funds: a systematic review of the literature from 2012 to 2023,Unknown,None,0
Individual or successiveseed priming with nitric oxide and calcium toward enhancing salt tolerance of wheat crop through early ROS detoxification and activation of antioxidant defense,Unknown,None,0
Factors influencing consumer perceptions of food tracked with blockchain technology. A systematic literature review,Unknown,None,1
"Environmental sustainability in the wine industry, a literature review",Unknown,None,0
Effect of carnosine on nitrosamine formation in gastric-simulated aqueous and lipid environments,Unknown,None,0
Has transformation of food systems reached an impasse? Considerations on the role of agri-food research,Unknown,None,1
"Functional chia (Salvia hispanica L.) co-product protein hydrolysate: An analysis of biochemical, antidiabetic, antioxidant potential and physicochemical properties",Unknown,None,0
Evaluation of microbial and oxidative changes of 100% Iberian Spanish salchichón in contact with a composite olive-leaf-extract food film and vacuum-packaged,Unknown,None,1
Reducing chemical inputs in agriculture requires a system change,Unknown,None,0
Sustainability challenges in the multi-tier crop agri-food sector: a systematic review,Unknown,None,1
Climate change impact on yield and income of Italian agriculture system: a scoping review,Unknown,None,0
Food security of agri-food system actors during the COVID-19 pandemic in the Philippines: Post-pandemic implications to sustainable development,Unknown,None,1
Economics of herbicide-free crop production,Unknown,None,0
Efficient and sustainable production of intelligent nonwovens as indicators of food spoilage through solution blow spinning of proteins and natural pigments from agri-food waste,Unknown,None,3
Plant-based Food Supply Chains: Recognising Market Opportunities and Industry Challenges of Pea Protein,Unknown,None,0
Engineered Biochar: Novel Silver Loading onto Biochar Using Agri-waste Extract Assisted by LED Light for Catalyst and Antibacterial Capabilities,Unknown,None,2
Signaling sustainability: Do Canadian consumers prefer broad or narrow food sustainability labels?,Unknown,None,0
Revolutionizing agri-food supply chain management with blockchain-based traceability and navigation integration,Unknown,None,0
Quantifying sustainability in the agri-food system: a comprehensive methodological framework and expert consensus approach,Unknown,None,0
CRISPR/Cas9-induced knockout of an amino acid permease gene (AAP6) reduced Arabidopsis thaliana susceptibility to Meloidogyne incognita,Unknown,None,1
Advancing the dual learning system in Kazakhstan: Perspectives of agri-business sector employers,Unknown,None,0
Metricizing policy texts: Comprehensive dataset on China’s Agri-policy intensity spanning 1982–2023,Unknown,None,0
Protective Effects of Polysaccharides on Antifungal Activity of Bread Waste-derived Bioactive Peptides During Freeze Drying,Unknown,None,1
"Correction to: A memetic dynamic coral reef optimisation algorithm for simultaneous training, design, and optimisation of artificial neural networks (Scientific Reports, (2024), 14, 1, (6961), 10.1038/s41598-024-57654-2)",Unknown,None,0
"Unveilling genetic profiles and correlations of biofilm-associated genes, quorum sensing, and antibiotic resistance in Staphylococcus aureus isolated from a Malaysian Teaching Hospital",Unknown,None,1
A Cluster-Based Bibliometric Analysis of the Emerging Technological Landscape in Logistics using Vosviewer,Unknown,None,2
Options for making responsive future strategy to foster sustainability transitions in the German agri-food sector: a Delphi-based approach,Unknown,None,0
Carbon storage and economic efficiency of fruit-based systems in semi-arid region: a symbiotic approach for sustainable agriculture and climate resilience,Unknown,None,4
Empowering women in sustainable agriculture,Unknown,None,2
Occurrence of plant hormones in composts made from organic fraction of agri-food industry waste,Unknown,None,1
Python farming as a flexible and efficient form of agricultural food security,Unknown,None,0
Exploring the role of blockchain technology in modern high-value food supply chains: global trends and future research directions,Unknown,None,8
"Biodynamic, organic and integrated agriculture effects on cv. Italia table grapes juice, over a 3-year period experiment: an <sup>1</sup>H NMR spectroscopy-based metabolomics study",Unknown,None,0
"Yeast mannan rich fraction positively influences microbiome uniformity, productivity associated taxa, and lay performance",Unknown,None,2
Participatory breeding in organic systems: Experiences from maize case studies in the United States,Unknown,None,0
Nitrogen uptake in lentil cultivar mixtures is not predictable from pure stands performance but is correlated with agronomic parameters and experimental conditions,Unknown,None,0
Sustainability of European agri-food supply chain using MRP-PCI multicriteria analysis method,Unknown,None,1
Evaluation of aflatoxin content in “Cheka” (traditional beverage in South-Western Ethiopia) and its major ingredient (maize),Unknown,None,0
Advances in the insect industry within a circular bioeconomy context: a research agenda,Unknown,None,4
Sustainability reporting in focus: analysing Spanish transposition of the Non-Financial Reporting European Directive in the agri-food sector,Unknown,None,1
A study on the DAM-EfficientNet hail rapid identification algorithm based on FY-4A_AGRI,Unknown,None,2
Glyphosate detection via a nanomaterial-enhanced electrochemical molecularly imprinted polymer sensor,Unknown,None,4
Modeling the limits of detection for antimicrobial resistance genes in agri-food samples: a comparative analysis of bioinformatics tools,Unknown,None,1
"Evolution of Indian Frozen French Fry Industry: Industrial Constraints, Challenges and Future Prospects",Unknown,None,0
Thermophilic biocatalysts for one-step conversion of citrus waste into lactic acid,Unknown,None,10
"The historical trajectory of a coffee agri-food system: A case study in Oaxaca, Mexico",Unknown,None,4
"Strontium isotope signature of the PGI lemons Limone Costa d'Amalfi and Limone di Sorrento, and of the orchard soils from Sorrento peninsula",Unknown,None,0
Revaluing horticultural skills: The knowledge and labour of growing food,Unknown,None,0
Enhanced Typhoon Center Localization Using Geostationary Satellite Imagery,Unknown,None,0
The urban-rural dietary water footprint and its inequality in China's urban agglomerations,Unknown,None,0
Microfluidic Optical Aptasensor for Small Molecules Based on Analyte-Tuned Growth of Gold Nanoseeds and Machine Learning-Enhanced Spectrum Analysis: Rapid Detection of Mycotoxins,Unknown,None,0
Economics of organic farming in India and North-East India,Unknown,None,0
New developments in the agri-food industry: Manipulating prospects for Industry 4.0,Unknown,None,0
Exploring tourist preferences for local food: a Best-Worst Scaling analysis and market segmentation approach,Unknown,None,0
The influence of market orientation on innovation attitude and firm innovativeness: a case of agri-food MSMEs in Uganda,Unknown,None,0
A systematic review to identify obstacles in the agricultural supply chain and future directions,Unknown,None,3
"Drivers of innovation in the agro-food micro, small and medium enterprises of Uganda",Unknown,None,4
Prognosis of entrepreneurial traits among agricultural undergraduate students in India using machine learning,Unknown,None,1
Uncovering effects of supply chain distance on sustainability adoption: empirical evidence from a multi-stakeholder partnership,Unknown,None,0
Agricultural insurance catastrophe risk management review,Unknown,None,0
Transforming agri-food value chains in Bangladesh: A practical application of blockchain for traceability and fair pricing,Unknown,None,0
"Agri-solar water pumping design, energy, and environmental analysis: A comprehensive study in tropical humid climate",Unknown,None,1
Thermal performance and economic analysis of saw-tooth and photo-voltaic roof type greenhouse integrated with Earth air heat exchanger,Unknown,None,0
Lifetime of nitric oxide produced by surface dielectric barrier discharge in controlled atmospheres: Role of O<inf>2</inf> content,Unknown,None,0
"Interplay and feedback between tectonic regime, faulting, sealing horizons, and fluid flow in a hydrocarbon-hosting extensional basin: The Val d'Agri Basin case, Southern Italy",Unknown,None,0
"Optimized crop distributions in Egypt increase crop productivity and nutritional standards, reducing the irrigation water requirement",Unknown,None,2
PhInd database – Polyphenol content in Agri-food by-products and trends in extraction technologies: A critical review,Unknown,None,1
Guest editorial: How to connect producers and consumers: impacts of platforms on the design and the functioning of agri-food value chains?,Unknown,None,0
Investigating crowd logistics platform operations for local food distribution,Unknown,None,2
Carbon footprint calculating for fruit processing and storage activities,Unknown,None,0
Agri-food systems in transition: Potentialities and challenges of moving towards circular models,Unknown,None,0
"Empowering Agrifood System with Artificial Intelligence: A Survey of the Progress, Challenges and Opportunities",Unknown,None,0
The effect of small-scale agro-environmental initiatives on avian diversity in agricultural landscapes,Unknown,None,0
Competitive Position of EU Candidate Countries and Eastern Partnership Countries in Trading Fruit and Vegetables in the Single European Market,Unknown,None,0
"Effect of Vegetation Growth, Agricultural Irrigation and Climatic Variability on Streamflow in Wujiang, China",Unknown,None,0
Investigating How Policies and Other Conditions Contribute to Influencing Agricultural GHG Emissions in the EU,Unknown,None,0
"Effect of Biochar and Wood Distillate on Vegeto-Productive Performances of Tomato (Solanum lycopersicum L.) Plants, var. Solarino, Grown in Soilless Conditions",Unknown,None,0
Mukbang Live Streaming Commerce and Green Agri-Food Products Consumption: Exploring the New Dynamics of Consumer Purchasing Decisions,Unknown,None,0
"A Comparative Analysis of Ethnic Networks and Internationalization of Latin American Agri-SMEs: The Case of Argentina, Brazil, and Chile",Unknown,None,0
"Seroprevalence of bovine leukemia virus in cattle and buffaloes in the border provinces of the Eastern Anatolia region, Türkiye: insights into the eradication of infection",Unknown,None,0
Heterogeneous Impacts of Traditional and Modern Information Channels on Farmers’ Green Production: Evidence from China,Unknown,None,0
"The Great Versatility of Supercritical Fluids in Industrial Processes: A Focus on Chemical, Agri-Food and Energy Applications",Unknown,None,0
Exploring Demand: Challenges and Opportunities for Free-From and Organic Foods in Portuguese Market,Unknown,None,0
"Antioxidant Activity, Nutritional Composition, and Proximate Analysis of the Moroccan Alga Ulva Lactuca from the Mehdia Coast",Unknown,None,0
A Proposed Coupling Framework of Biological Invasions: Quantifying the Management Prioritization in Mealybugs Invasion,Unknown,None,0
Hybrid paper/PDMS microfluidic device integrated with RNA extraction and recombinase polymerase amplification for detection of norovirus in foods,Unknown,None,0
Navigating the Professional Landscape of Agri-Food Systems in Africa Insights from the YPC Career Panel at the 2023 AMAA Conference,Unknown,None,0
"Structural Characteristics, Development Trends, and International Comparison of Greenhouse Gas Emissions in China’s Agri-Food System Under the Dual-Carbon Objectives",Unknown,None,0
Implications of carbon pricing on food affordability and agri-food sector in Canada: A scoping review,Unknown,None,0
Investigating the Nexus Between Energy Transition Reporting Practices and Corporate Efficiency in the European Agri-Food Sector,Unknown,None,0
Involving Rural Youth in Agroecological Nature-Positive Farming and Culinary Agri-Ecotourism for Sustainable Development: The Indian Scenario,Unknown,None,0
Mathematical Modelling of Tensile Mechanical Behavior of a Bio-Composite Based on Polybutylene-Succinate and Brewer Spent Grains,Unknown,None,0
Circular Economy in the Agri-Food System at the Country Level—Evidence from European Countries,Unknown,None,0
A Study on Typhoon Center Localization Based on an Improved Spatio-Temporally Consistent Scale-Invariant Feature Transform and Brightness Temperature Perturbations,Unknown,None,0
"Bioactive Compounds, Composition and Potential Applications of Avocado Agro-Industrial Residues: A Review",Unknown,None,0
Food Waste Biotransformation into Food Ingredients: A Brief Overview of Challenges and Opportunities,Unknown,None,0
Systematic Literature Review of Barriers and Enablers to Implementing Food Informatics Technologies: Unlocking Agri-Food Chain Innovation,Unknown,None,0
The Combination Application of FY-4 Satellite Products on Typhoon Saola Forecast on the Sea,Unknown,None,0
"Hormonal, biochemical, and genetic regulations of walnut fruit development and ripening: an integrated perspective",Unknown,None,0
From Food Industry 4.0 to Food Industry 5.0: Identifying technological enablers and potential future applications in the food sector,Unknown,None,0
"Soil carbon sequestration potential of different land use systems: evidence from sub-humid southern plains and Aravalli hills of Rajasthan, India",Unknown,None,0
Potential implications of trade policy shifts after the 2024 U.S. presidential election for the agri-food sector,Unknown,None,0
Recovery of mining and agri-food wastes in fired materials: a case study of the Moroccan industry,Unknown,None,0
Strong decline in grasshopper abundance over 20 years without major land-use changes: Is soil drying one of the drivers?,Unknown,None,0
Meadow orchards as a good practice example for improving biodiversity in intensive apple orchards,Unknown,None,0
The decline of ground nesting birds in Europe: Do we need to manage predation in addition to habitat?,Unknown,None,1
Agrivoltaics with semitransparent panels can maintain yield and quality in soybean production,Unknown,None,0
Sustainable use of coffee roasting by-products: development of high value-added gummy candies,Unknown,None,0
Integrating Resilience Theory Into a Cultivated Land System: Empirical Insights From China's Key Grain-Producing Regions,Unknown,None,0
Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,Unknown,None,0
Immunoexpression of placental growth factor (PlGF) and soluble FMS-like tyrosine kinase 1 (sFlt-1) in the placental bed of preeclamptic women of African ancestry living with HIV infection,Unknown,None,0
Towards answering analytical query over hierarchical histogram under untrusted servers,Unknown,None,0
"Obesity, Metabolic Syndrome, and Obesity Paradox in Heart Failure: A Critical Evaluation",Unknown,None,0
Wafer-Scale Vertical 1D GaN Nanorods/2D MoS<inf>2</inf>/PEDOT:PSS for Piezophototronic Effect-Enhanced Self-Powered Flexible Photodetectors,Unknown,None,0
Treatment of Downbeat Nystagmus and Cerebellar Ataxia,Unknown,None,0
Design and implementation of optimized 2D FIR symmetric filter architecture using modified McClellan transformation and CSD-CSE,Unknown,None,0
Exploring Nanoscale Perovskite Materials for Next-Generation Photodetectors: A Comprehensive Review and Future Directions,Unknown,None,1
Bimetallic Single-Atom Catalysts for Water Splitting,Unknown,None,0
An effective steganographic technique for hiding the image data using the LSB technique,Unknown,None,0
Survey of techniques to detect common weaknesses in program binaries,Unknown,None,0
Automated raga recognition in Indian classical music using machine learning techniques,Unknown,None,0
Energy Efficient and Throughput Oriented Route Optimization Models in the Internet of Vehicles: A Survey,Unknown,None,0
Analysis of Computational Bibliometric Mapping in Multimedia for Art Learning Media Publications using VOSviewer,Unknown,None,0
"NIVE: NeuroImaging Volumetric Extractor, a High-Performance Skull-Stripping Tool",Unknown,None,2
An In-Depth Review of Predictive Methods for Oil and Gas Applications,Unknown,None,0
Bibliometric Analysis of the Development of Publications in the Field of Learning Models and Fine Arts in the Form of Books and Articles using VOSviewer,Unknown,None,0
Found Objects: Establishing Meaning at Different Scales,Unknown,None,0
Mentoring Emerging Museum Professionals: Shaping the Future of the Curatorial Field with a Diverse Undergraduate Fellowship Program,Unknown,None,0
The Evaluation and Practices of Social Inclusion in Chilean Art Museums,Unknown,None,0
Visual Art Accessibility and Art Experience for the Blind and Visually Impaired,Unknown,None,0
Modeling and estimation of CO<inf>2</inf> capture by porous liquids through machine learning,Unknown,None,0
Hydroxyl and amino co-modified imidazole based ionic liquid functionalized TS-1 molecular sieve for efficient CO<inf>2</inf> capture,Unknown,None,0
Hexafluoroisopropanol-based deep eutectic solvents for efficient aqueous two-phase extraction of flavonoids from Flos Sophorae Immaturus,Unknown,None,0
High-redshift cosmology by Gamma-Ray Bursts: An overview,Unknown,None,0
HFNet: Semantic and Differential Heterogenous Fusion Network for Remote Sensing Image Change Detection,Unknown,None,0
Resilience in higher education during the COVID-19 pandemic: A scoping literature review with implications for evidence-informed policymaking,Unknown,None,0
Evoattack: suppressive adversarial attacks against object detection models using evolutionary search,Unknown,None,0
Multi-objective improvement of Android applications,Unknown,None,0
Contractsentry: a static analysis tool for smart contract vulnerability detection,Unknown,None,0
Approximate Square and Square Root Calculation without Multiplication or Division for DSP Applications,Unknown,None,0
Increasing Museum Accessibility for People with Visual Impairment Using Product Development and Additive Manufacturing,Unknown,None,0
Enhanced bacterial and virus disinfection with copper nanoparticle optimized LIG composite electrodes and filters,Unknown,None,0
Borophene-based nanomaterials: Promising candidates for next-generation gas/vapor chemiresistors,Unknown,None,1
Realizing overall trade-off of barocaloric performances in 1-bromoadamantane-graphene composites,Unknown,None,0
