File,Subjects,Keywords,Cited-by-count
202203727.json,ENER;ENVI;EART,SCDA;cost analysis;fracture onset;portland cement;chemical accelerators;viscosity enhancing agents,0
202202835.json,ENER,Scavenging activity;Chlorella vulgaris;Flavonoid;Chlorella pyrenoidosa;Lipid;Biorefinery approach,25
202200808.json,PHYS;CHEM,Hydrazone;U251 cells;Fluorescence;Cu2+;Al3+;HeLa,4
202202566.json,PHYS,,6
202202136.json,AGRI;ENVI,Staphylococcus;Lipolytic activity;Fish sauce;Fermented fish;Bacteria,0
202202423.json,PHYS,Beyond Standard Model;Dark Matter;Hadron-Hadron Scattering,8
202202073.json,ENGI,decision tree;large centroid ditance grouping;Support Vector Machine (SVM);multiclass classification;data centroid,1
202202589.json,MULT,,0
202203232.json,ENGI;PHYS;COMP;MATE;MATH,carboxymethyl cellulose;agarose;apple powder;printability;alginate;cytotoxicity,0
202203662.json,ENER;ENGI;MATH,carrier-based dipolar modulation;unified PWM;Matrix converters;minimum switching number,1
202202970.json,HEAL;MEDI,,0
202203398.json,ENGI;COMP;MATE,smart contracts;Blockchain;trust assurance;business process management,3
202200367.json,ENER,vanadium carbide;cobalt boride;amorphous;supercapacitor;MXene,3
202203818.json,BIOC;IMMU,,0
202201825.json,AGRI;NURS;MEDI,drug formulations;multi-mineral supplement;quality of life;multi-vitamin supplement;quasi-experiment design,0
202200737.json,AGRI,Alcalase;Flavourzyme;Hydrolysates;Bioactive peptides;Adzuki bean;Mung bean,6
202201576.json,ENER;ECON,Qin-Mountains and Huai-River;Air Pollution;Central Winter Heating;PM2.5;North China,3
202201126.json,MEDI,POPstix;POP-Q;reliability;pelvic organ prolapse;cervamet,0
202201433.json,BIOC;CHEM;ENGI;PHYS;COMP,mild cognitive impairment;classification;similarity-based feature;switching;feature extraction;phonemic clustering;silence-based feature;phonemic verbal fluency;MoCA,1
202201599.json,IMMU;MEDI,whole exome sequencing;next generation sequencing;inborn errors of immunity;primary immunodeficiency diseases;Sanger sequencing;targeted gene,2
202201063.json,AGRI,Hypervirulence;Comparative genomics;Phylogenetic tree;Aeromonas hydrophila;Striped catfish,3
202200222.json,CENG;MATE,Hydrous Ru-doped cobalt phosphate;Water splitting;Impact of metal substitution;Electrocatalyst,1
202200388.json,MEDI,Extracorporeal membrane oxygenation;Mortality;Acute kidney injury;ECMO;Kidney replacement therapy;Renal replacement therapy;Chronic kidney disease,1
202201960.json,ENVI,Pteropus lylei;Ecological niche model;Emerging infectious disease;Lyle’s flying fox;Climate change,0
202200672.json,AGRI;NURS,mulberry;proteomics;insulin resistance;type 2 diabetes;DNJ,2
202202120.json,ARTS;SOCI,female quixote;Woman reader;New Woman;Early modern Thai literature,0
202202570.json,CHEM,photocatalysis;carbon nitride;electron spin resonance;metal doping;energy-resolved distribution of electron traps,8
202202823.json,MEDI,Phosphate lowering agents;Mortality;Hyperphosphatemia;Cardiovascular outcomes;Chronic kidney disease,4
202203731.json,PHYS;MATE,,0
202203361.json,NEUR;MEDI,neuroimmune;schizophrenia;psychiatry;psychosis;inflammation;oxidative stress,2
202202989.json,AGRI;VETE;BIOC,IZUMO1;α-Tocopherol;Chilled semen;Green tea polyphenol;Cat,4
202202966.json,MATE,Fresh natural rubber;Dielectric properties;Skim natural rubber;Bacterial cellulose;Mechanical properties,6
202203674.json,AGRI;EART,systematics;endemic;taxonomy;Biodiversity;Fauna & Flora international;genitalia;limestone,3
202201649.json,PHYS;MATH,Pattern recognition;cluster finding;Large detector systems for particle and astroparticle physics;Particle identification methods;calibration and fitting methods,7
202203224.json,ARTS,,1
202201219.json,BIOC;MEDI,Inflammatory skin disease;Innate immune response;Gene;Early-phase psoriasis;Autoinflammation,7
202200058.json,AGRI;ENVI,community resilience;sustainable local food systems;sustainable rural development;community-based agritourism;rural livelihood diversification,0
202202065.json,PHYS;MATE;CHEM,Antibacterial property;Food packaging;Zinc oxide-doped multiwalled carbon nanotubes (MWCNTs-ZnO);Mechanical properties;Poly(vinyl alcohol),29
202200408.json,COMP;ECON;SOCI;BUSI,Cloud accounting;Technology adoption;Institutional theory;SMEs;Diffusion of innovation theory;Technology–organization–environment framework,8
202202435.json,MULT,,0
202201130.json,MEDI,preterm birth;twin pregnancy;second trimester;cervical length;uterocervical angle,0
202201560.json,MULT,periodontal ligament cells;immunosuppression;interferon γ;T lymphocytes;transforming growth factor β1;intercellular adhesion molecule-1,1
202200721.json,ENGI;BIOC;CENG;ENVI,Butanol;Clostridium beijerinckii CUEA02;Thai traditional beverage (Sato) factory;Sato wastewater;ABE fermentation,1
202201833.json,IMMU;MEDI,Zoledronic acid;bisphosphonate-related osteonecrosis of the jaw (BRONJ);bisphosphonate-related osteonecrosis of the femur;Porphyromonas gingivalis;osteoclasts,1
202201999.json,CENG;CHEM,Hydrogen production;Titanium-di-oxide;Vanadium pentoxide;Surface modification;Visible light,12
202200371.json,MATH,Planar arbitrarily curved microbeams;Euler-Bernoulli beam model;Modified couple stress theory;Size dependence;Governing equations;Isogeometric analysis,7
202202659.json,MEDI,Myelodysplastic syndromes (MDS);Southeast Asian Ovalocytosis (SAO);flow cytometry;Hereditary Spherocytosis (HS);red blood cell membrane disorders;Eosin-5-Maleimide (EMA) staining,0
202200664.json,COMP;ENGI,security;cloud model;QH-CPABE;privacy,5
202201976.json,SOCI,Subjective well-being;Elderly;Happiness;Public transportation;Mobility;Aging society,5
202202209.json,COMP;CENG;BIOC;CHEM,cecal ligation and puncture;uncoupling agent;BAM15;sepsis;extracellular flux,11
202200234.json,MEDI,Muslim;Knowledge;Unwanted pregnancy;Thai abortion law;Induced abortion;Nurses;Attitude,2
202201075.json,AGRI;ENVI,Pleistocene;mesowear;Thailand;Caprinae;hypsodonty index;paleoecology;DMTA,1
202203048.json,MEDI,Transgender women;Sexual function;Penile skin inversion vaginoplasty;Female sexual function index (FSFI);Quality of life;Gender-affirming surgery;WHOQOL-BREF,0
202201425.json,MULT,,0
202203418.json,SOCI,,0
202204109.json,PHYS;MATH;EART,spectral method;extremal black hole;AIM;Quasi-normal modes;massive gravity;black string,2
202203336.json,PHAR,ceftriaxone;Brevundimonas diminuta;peritoneal dialysis;continuous ambulatory peritoneal dialysis,0
202200849.json,AGRI;HEAL;IMMU;SOCI,toxicity;nanostructured lipid carriers;clove oil;biodistribution;Penaeus vannamei;anesthesia,0
202202874.json,AGRI;ENGI,Hydrochar;Biocrude oil;Biomass utilization;Renewable energy,0
202203766.json,ENVI;SOCI,water justice;critical hydropolitics;Political ecology of large hydropower dams;hydrosocial ordering;commons;Mekong-Lancang River,7
202202527.json,MATH,Elastic half plane;Surface elasticity;Nonsymmetrical indentation;Tilted flat-ended indenter;Couple stress elasticity,5
202202177.json,MULT,,0
202202462.json,AGRI;ENVI;IMMU,Heat-killed vaccine;Immunoglobulin genes;Nile tilapia;Ozone nanobubble;Immersion vaccination,7
202202198.json,CENG;MATE,Hamilton’s principle;nanobar;elastic substrate media;surface elasticity theory;modified strain-gradient theory;free vibration,3
202202032.json,ENVI,Northeastern Thailand;Waste brine;Potash;Deep well injection;Sustainable mining environment,2
202203273.json,AGRI;NURS;BIOC;MEDI,phytotherapy;Natural products;neurodegeneration;herbal medicine;dementia,1
202203789.json,MEDI,,2
202202931.json,MEDI,,10
202203623.json,AGRI;IMMU,antimicrobial activity;Saccharothrix;Sichang Island;polyphasic taxonomy;rare actinobacteria,0
202200326.json,BIOC;MATH;CHEM,Molecular dynamics simulation;Hemagglutinin;Binding free energy;Arbidol;Fusion inhibitors,4
202200776.json,AGRI;VETE,goats;colostrum;average daily weight gain;insulin-like growth factor 1;immunoglobulin G;vitamin A,0
202201864.json,PHYS,CMS;B mesons;Quark gluon plasma;Heavy flavor;Hadronization,2
202203859.json,ENGI,finite element method;Estuary area;flood;rainfall intensity;slope failures,10
202201537.json,MEDI,endoscopy;adult;quality of life;nasal saline treatment;acute rhinosinusitis,0
202201167.json,MEDI,Bile duct cancer;Biomarker;Diagnostic model;Cancer screening;Volatile organic compounds (VOCs);Cholangiocarcinoma (CCA),1
202201188.json,COMP;CENG;BIOC;CHEM,lung cancer;Aurisin A;beta-cyclodextrins;inclusion complex,0
202201472.json,PHYS;ENGI;MATE,Bacterial consortium;Biodegradation mechanism;Polylactic acid;Hydrolytic enzymes;Plastic waste,8
202204220.json,ENGI;BUSI,architectural design;Design for construction waste minimization;construction waste management;Designing out waste;façade design,7
202201022.json,DENT;MEDI,Midfacial fracture;Viral spread;Facial trauma;SARS-CoV-2;COVID-19,7
202200799.json,AGRI,maize growth;carboxymethyl cellulose;nano-calcium carbonate;hydrogel;soil amendment;composite hydrogel;water holding capacity,6
202200263.json,BIOC,PI3K/AKT pathway;Active histone mark;Interferon-γ;PD-1;Human monocytes;Phagocytosis,2
202200633.json,MULT,,0
202201921.json,MEDI,primary aldosteronism;adrenal gland;hypertension;adrenal venous sampling;aldosterone;blood pressure,3
202200424.json,SOCI,Social relationships;Well-being;Qualitative methods;Thailand;Family,0
202202419.json,PHYS;EART,,3
202200074.json,VETE,season;melatonin;pregnancy rate;dairy cow,0
202202049.json,SOCI,Education as a service (EaaS);Adoption model;Hybrid SEM-neural network,4
202203208.json,DECI;COMP;MATH,Recommendation;Hybrid Filtering;Collaborative Filtering;Content-based Filtering,0
202201235.json,PHAR,Self-microemulsifying tablets;Caco-2 cells;Spray drying;Antioxidant activity;Astaxanthin,3
202204037.json,CENG;CHEM,Butanol;Ethanol;Guerbet reactions;Mixed oxide catalyst;Layered double hydroxides catalyst,4
202200977.json,VETE;IMMU,Feline platynosomosis;Immunoblotting;Platynosomum illiciens;Immunolocalization;LC-MS/MS;SDS-PAGE;Whole worm extract,0
202203658.json,ECON;BUSI,Revenue;Pay-to-Bid Website;Affecting Factors;Auctioneers,0
202201665.json,AGRI;NURS,NAFLD;Litchi chinensis-derived polyphenol;gut microbiota;polyphenol;metabolic syndrome;MRI-PDFF;Akkermansia,7
202200998.json,MEDI,Elective surgery;Laminectomy;Operative time;Opioid-related side effects;Thoracic epidural;Lumbar spine surgery;General anesthetic;Recovery;Analgesia;Length of stay,3
202204172.json,MEDI;CHEM;PHAR,Curcumin synthase;Diketide-CoA synthase;Curcuma;trnK;Intron length polymorphism;Molecular identification,2
202201370.json,CENG;CHEM,,1
202200832.json,BIOC;PHAR,mucosal vaccine;sterilizing immunity;variant of concern;Chlamydomonas reinhardtii;oral vaccine boosting,2
202201720.json,AGRI,Herbal formulation;HaCaT;Thai medicinal plants;Keratinocytes;Areca nut;Diabetes,2
202200561.json,PHYS,CMS;Vector boson scattering,2
202200131.json,IMMU;MEDI,,4
202201409.json,BIOC;ENVI;IMMU;MEDI,dog;Staphylococcus hominis subsp. hominis;SCCmec;composite island;Staphylococcus haemolyticus,1
202203434.json,ARTS;SOCI,Animist materialism;New materialism;Decolonization;Posthumanism;Poiesis;Tropical materialisms;Material poetics;Ontological turn,5
202201059.json,VETE;BIOC;IMMU;MEDI,Covid-19;Reduced dose;Standard dose;Inactivated vaccine;mRNA Vaccine;Third dose;Clinical trial;Omicron;Booster;Delta,3
202203064.json,MEDI,,0
202202225.json,BIOC,neuroimmune;psychiatry;mood disorders;early lifetime trauma;depression;inflammation;cytokines,9
202200218.json,MEDI,Total knee arthroplasty;Adductor canal block;Interspace between the popliteal artery and capsule of the knee;Pain control;Periarticular injection,0
202202675.json,PHYS,Jet Physics;Hadron-Hadron Scattering,2
202200648.json,ECON,Quasi-natural experiment;Shareholder litigation risk;ESG controversies;Exogenous shock;Shareholder litigation rights,7
202203967.json,SOCI,Regional inequality;Thailand;spatial dependence;club convergence,5
202202360.json,ECON;BUSI,saving;family support;elderly;government support;Key words Retirement,6
202203988.json,PHYS,Jets;QCD;Hadron-Hadron Scattering,7
202202730.json,AGRI;NURS,Oral nutritional supplement;Insulin;Gastrointestinal tolerability;Tapioca resistant maltodextrin;Glucose,3
202203822.json,HEAL;MEDI,,3
202203571.json,HEAL;MEDI,Undernutrition;Indigenous;Nepal;Under-five children;Prevalence,0
202203121.json,MEDI,fecal microbiota transplantation;choice architecture;gastrointestinal diseases;nudges;behavior economics;stool bank,1
202200920.json,MEDI,myocardial infarction;cardiac resynchronization therapy–defibrillator;delivery of health care;implantable cardioverter-defibrillator,1
202201632.json,MEDI,Liver fluke;Endemic;Cholangiocarcinoma;Praziquantel;Distribution,0
202204060.json,CENG;CHEM,back extraction;lipopeptides;Pre-concentration;cloud point extraction;Triton X-100,2
202201798.json,COMP;ENGI,Internet of Things (IoT);Blockchain technology (BCT);specification language;permissioned blockchain;quality of services (QoS);compliance checking;user-oriented selection,5
202201262.json,AGRI;VETE;IMMU;MEDI,VCAM-1;Chikungunya;IL-1Ra,0
202200023.json,ENER;PHYS,CO2 methanation;Biogas;Carbon nanotubes;Hydrogen;Integrative process,2
202200189.json,AGRI;ENVI;IMMU,Tilapia lake virus;Nanovaccine;Tilapia;Immunity;Immersion,5
202200473.json,MULT,,3
202200166.json,PHAR;BIOC;CHEM,peptide sequencing;Brevibacillus sp. SPR-20;anti-MRSA substances;antimicrobial peptides;purification,1
202200536.json,ENER;ENGI,Lanthanum;Manganese oxide;Ionic liquid;Iron oxide;Asymmetric supercapacitors;Graphene oxide,3
202200865.json,PHAR;BIOC;CHEM,heterogenous catalyst;glycerol;sulfonated;PFAD;biodiesel;by-product;esterification,0
202202858.json,PSYC;MEDI,COH-FIT;survey;children;adults;psychiatry;international;mental health;post-traumatic;anxiety;resilience;physical health;depression;representative;functioning;COVID-19;adolescents;well-being,15
202201777.json,PHAR,Microemulsion;Fluocinolone acetonide;Fractional laser;Pilot study;Scalp psoriasis,1
202201327.json,MEDI;PHAR,antibiotic resistant;mortality;screening tool;multidrug-resistant infection;predictive scoring,0
202204125.json,ENGI;CENG,Nanoparticle;Simulation;Enhanced oil recovery,0
202202622.json,AGRI;VETE,Trehalose hexaacetate;Cat;Oocyte;Cryopreservation,3
202203930.json,MATH,11K50;Metric property;Oppenheim continued fraction;Field of Laurent series;11J70,0
202202272.json,COMP;ENGI,Particle swarm optimization;Integer program;Discrete constraint;Evolutionary structural optimization;Metaheuristic algorithm;Comprehensive learning,10
202202788.json,VETE;PHAR,freshwater crocodiles;pharmacokinetics;clarithromycin;LC-MS/MS,2
202203033.json,IMMU;MEDI,,0
202203463.json,COMP;PHYS,image segmentation;adaptive thresholding;plaque assay;watershed segmentation,0
202203199.json,ENVI,Plant secondary metabolites;Heavy metals;Carbon dioxide (CO2);Particulate matter;Ozone (O3);Environmental pollution,2
202203176.json,COMP;ENER;ENVI,amorphous cellulose-graphene oxide composite;Amorphous cellulose;graphene oxide;graphene oxide composites,0
202203526.json,BIOC,bicistronic vector;siderophore;bacteriostatic effect;Neutrophil gelatinase-associated lipocalin;fluorescence intensity,0
202202767.json,MEDI,lupus band test;sensitivity;diagnostics;direct immunofluorescence;specificity;Systemic lupus erythematosus,3
202201848.json,MULT,Lipid profile;Ageing;Women;Ginger;Hypertension,0
202203875.json,AGRI;BIOC,DNA barcode;matK;rbcL;morpho-anatomy;Achillea millefolium,3
202202337.json,ECON;BUSI,Economic policy uncertainty;Board gender diversity;Board of directors;Instrumental variable;Corporate governance;Female directors,3
202202458.json,ECON,Mental health;Physical health;Panel data;HILDA,3
202200465.json,MEDI,PWPH;Long term ART;TB incidence;Competing risk model,1
202202008.json,ENER;MATE;CHEM,Ionic selectivity;Porous polymer;Gel polymer;Ion exchange;Ionic conductivity,17
202200035.json,MEDI;PHAR,decanoic acid;α-synuclein;Parkinson’s disease;Holothuria leucospilota;C. elegans;dopaminergic neurons,5
202201274.json,MEDI;SOCI,Legal status;Mental health;Thailand;Stateless;Ethnic minorities,0
202203249.json,ARTS,locality bias effect;reflexive resolution;Thai;sentence processing;reflexive anaphors,0
202204076.json,CENG;CHEM,Agricultural residue;Cr/MCM-22;Hydrothermolysis;Levulinic acid,8
202201624.json,MEDI,,0
202203619.json,MEDI,Case report;Meningoencephalitis;Cryptococcus;Gelatinous pseudocyst,0
202200936.json,ENER;ENGI;ENVI,Absorption;Carbon dioxide;Precipitation;Amine,5
202204133.json,MATE,Nondrying;Strain sensor;Hydrogel nanocomposite;Antifreezing;Self-healing,11
202201331.json,CENG,Zn dendrites;Zinc-ion battery;Electrolyte additive;Ethylene carbonate,4
202201761.json,ENGI;PHYS;MATE,Photonic radar;Polarization division multiplexing;Measurement;Autonomous vehicles;Range resolution;LFMCW,9
202204099.json,CENG;IMMU;BIOC,Nanorods;Anticancer activity;Curcumin;Nanospheres;HepG2,8
202200873.json,BIOC;MEDI,cell line;short tandem repeat;primary sclerosing cholangitis;LIV27;cholangiocarcinoma,0
202200520.json,PHAR,Support vector regression;Wet granulation;Artificial neural network,0
202200170.json,SOCI;ENER;ENGI;COMP;ENVI,drought intensity;streamflow;runoff;Standardized Runoff Index;SWAT;3S basin,2
202203475.json,COMP,natural language processing;transformer;text classification;virtual adversarial training,0
202201448.json,PHYS;ENGI,,4
202203025.json,MEDI,terrorist attacks;global collaboration;learning points;organizational planning;triage;mass casualty incidents,5
202201018.json,DENT;MEDI,Maxilla;Skull base;Health care inequality;Ameloblastoma;Predictor,3
202200259.json,AGRI;EART,Dinoflagellates;Okadaic acid;Indicator species;Cryptic species;Climate change;Molecular phylogeny,1
202202264.json,ENGI,Finite element;Plate embedment;Reinforced concrete;Steel plate;Shear strength model,2
202203926.json,MEDI,Vaccine complication;NSTEMI;COVID-19 vaccination;Myocardial infarction;CoronaVac vaccine,3
202200609.json,MULT,,2
202202634.json,AGRI;ENVI,reproductive skew;non-invasive genetics;tolerance;mating skew;Macaca arctoides;primates;relatedness,4
202202321.json,COMP,NSGA-III;Multi-objective Parts Feeding;Scheduling and Routing;Part Feeding policy;Mixed-model assembly line;MOEA/D,0
202203863.json,ENER;MATE;CHEM,,19
202202771.json,PSYC;NEUR,Rat;POMC;Anorexia;Ambient temperature;Arcuate nucleus,1
202203530.json,ENGI;COMP;MATE,game theory;small-scale sellers;peer-to-peer market;consumers;Pricing mechanism,4
202203160.json,MEDI,,0
202201389.json,BIOC;SOCI;AGRI;NEUR;PSYC,development;service sector;Thailand;productivity;employment;older worker;promoting work;gologit,4
202201673.json,MEDI,burns;body surface area;mobile application,0
202200961.json,PHAR,Lipid radicals;Iron overload;β-thalassemia;Lipoproteins;Lipid peroxidation;Cholesteryl esters,1
202204021.json,PHYS;ENGI,,2
202201223.json,MEDI,Monkeypox;Taiwan;Imported infection;First case;Single nucleotide polymorphism,16
202200598.json,ENER,Computational fluid dynamics-Discrete element method;Fluidized bed;Non-spherical particle;2k factorial experimental design;Mixing,2
202200062.json,ARTS;SOCI,,0
202200432.json,MULT,,12
202200127.json,MULT,,2
202200577.json,PHYS;MATH,scattering;review;gauge theory;scattering amplitudes;gravity,6
202201736.json,NURS,Health seeking behavior;Time delays in diagnosis;Colorectal cancer;Knowledge;Pre-hospital delay;Illness perception,0
202202819.json,MATE;ENVI,Transdermal patches;Reservoir type;Hydroxypropylmethylcellulose;Deproteinized natural rubber latex;Nicotine;Polyvinyl alcohol,6
202200824.json,AGRI;EART,Decommissioning;Fish spawning aggregations;Bigeye trevally;Oil and gas platform jackets;Offshore platform ecology;Stereo-video;Caranx sexfasciatus;Marine conservation;Gulf of Thailand (GoT);Environmental management,1
202201366.json,MEDI,TLIF;meta-analysis;transforaminal lumbar interbody fusion;expandable cage;static cage,4
202204164.json,AGRI,Tropical sandy soil;31P NMR spectroscopy;Incorporation of contrasting quality organic residues;Thailand;Organic phosphorus;Sequential extraction procedure,3
202203971.json,PHAR;IMMU;MEDI,Canine coronaviruses;East Malaysia;novel human alphacoronavirus;USA;zoonotic disease;pneumonia;acute respiratory illness;Haiti,8
202202663.json,AGRI;BIOC;MEDI,molecular dynamics simulation;vaccine de-sign;Vibrio harveyi;immune simulation;T-cell epitopes,6
202202399.json,SOCI;ENER;ENGI;COMP;ENVI,COVID-19 consequences;COVID-19;systematic review;Asia,9
202202233.json,COMP;SOCI,Professional development;T-shaped identity;M-Shaped Identity;Professional association;T-shaped graduate,0
202203072.json,BIOC;MEDI,radiomics;prognosis;nasopharyngeal carcinoma;computed tomography;imaging biomarkers,3
202203588.json,COMP;MATH,Health information-seeking Behaviour;Social media;COVID-19 pandemic,0
202203422.json,COMP;ENGI,fault detection;fault identification;centrifugal compressor;ensemble model,2
202203137.json,NEUR,escape behavior;cuneiform nucleus;flight response;optogenetics;amygdala;pathway-selective;superior colliculus;mouse,1
202203567.json,AGRI,Centistidea;Middle East;Mirax;Turkey;Faunistic list;Iran;Identification key,0
202203834.json,BIOC;NEUR;MEDI,Nerve block;Anatomic landmarks;Reference standards;Skull,1
202201809.json,COMP,group sparse structure;Granger causality (GC);electroencephalogram (EEG);state-space models;Brain connectivity,3
202202726.json,MEDI,,7
202202376.json,SOCI,teachers’ practice;teachers’ experiences;professional learning community;policy delivery;PLC characteristics,0
202202301.json,DENT,Odontogenic cyst;Claudin;Odontogenic keratocysts;Calcifying odontogenic cysts;Dentigerous cysts;Radicular cysts,0
202203843.json,HEAL;MEDI,Side hop test;Hypertrophy;Chronic ankle instability;Occlusion;Y-balance,4
202202751.json,MEDI,Multimodal imaging;Vitreoretinal lymphoma;Spontaneous regression;Recurrence;Large B-cell lymphoma,2
202200296.json,ENGI;CENG;ENVI,Gold recovery;Autoclave treatment;Waste printed circuit board;Epoxy removal;Gold nanoparticles;Hydroquinone,2
202203510.json,ENER;ENGI;SOCI,Design for manufacture and assembly;Knowledge-to-action framework;Design meetings;Ethnography study;Knowledge management;Architectural concept design,2
202203140.json,ENGI;MATE,Transition metals;Layered double hydroxides;Fast electrodeposition;Water splitting;Self-supported,29
202201487.json,DENT,matrix mineralization;periodontal ligament;Acellular cementum regeneration;prostacyclin analog;tooth regeneration/transplantation;bone remodeling/regeneration,1
202201192.json,AGRI;NURS,stroke;meta-analysis;gut microbiome;probiotic,4
202201468.json,ENER,Acid;Enzymatic hydrolysis;Vetiver grass;Alkali;Two-stage pretreatment;Lignocellulosic biomass,3
202203455.json,DENT,oral squamous cell carcinoma;migration;chrysin;apoptosis;proliferation;invasion,0
202201038.json,COMP;ENGI,SPAN;SBAS;BDSBAS;GAGAN;GNSS,0
202203005.json,ENGI;BIOC;ENVI;CENG,Defect engineering;Black TiO2;Factorial design;Dye removal;Photocatalysis,4
202201891.json,MEDI;HEAL;BIOC;SOCI,Centre of Mass;Standing Up;Balance,0
202200783.json,ENGI;SOCI,transit system;transportation;data science;digital transformation (DT);decarbonisation,0
202202244.json,MEDI,,0
202200279.json,MEDI;PHAR,Piperine;CNS side effects;Formalin test;Cold plate test;Tail-flick test;Curcumin;Synergistic interaction,2
202203906.json,DECI;COMP,deep learning;convolutional neural network;localization;embedding;loss function;Fine-grained visual classification,1
202202614.json,MEDI,,0
202200629.json,MEDI,biting midge;Barcode Index Number;cryptic species;vector,4
202204113.json,ENGI;ENER;CENG;CHEM,,0
202201311.json,MEDI,Burn scar;Alu repetitive sequence;Alu methylation,1
202203286.json,HEAL;MEDI,Passion;team performance;social identity;replication,0
202201741.json,BIOC;IMMU,Streptomyces parmotrematis;Actinomycetes;Parmotrema;Actinobacteria;Lichen,6
202200853.json,AGRI,elevation change;fine root;sedimentation rate;pneumatophore;Avicennia alba;mangrove plantation,1
202200500.json,MULT,,3
202202497.json,ENGI;PHYS;MATE;MATH,Microstructural effects;Multi-layered media;Functionally graded materials;Surface coating;Couple stress theory,3
202200150.json,MULT,,1
202200445.json,MEDI,steroids;leukotriene;intranasal;antihistamine;decongestant;allergic rhinitis,3
202202478.json,PHYS;MATE,Toluene;Oxidation;Adsorption;Functionalized silica;Nanogold,2
202202182.json,AGRI;MEDI,epiphyte;multigene phylogeny;Cordycipitaceae;scale insects;insect pathogenic fungi,5
202200015.json,VETE,proteomic;curcuminoids;diabetes mellitus;inflammation;oxidative stress,1
202202028.json,COMP;ENGI,Backhaul;Golden ball algorithm;Time window;Vehicle routing problems,2
202203269.json,COMP,,0
202201254.json,MEDI,Lumbar disc disease;Interbody fusion;Durotomy;Intradural herniation;Open discectomy;Diagnostic imaging,4
202203793.json,CENG;MATE,surface modification;antibacterial;Polyethylene;chitosan;Alkyl ketene dimer,0
202204056.json,ENVI,Bioavailability;Paddy soil;Arsenic;Anaerobic;Fractionation,0
202202881.json,PHYS,,0
202203639.json,MEDI,,3
202201604.json,MULT,,107
202200916.json,AGRI;NURS,pancreatic lipase;Mitragyna speciosa;kratom;α-glucosidase;anti-diabetes mellitus,2
202203117.json,MEDI,Smoking cessation;Vaping;Adolescents;Tobacco products;Electronic cigarettes;Indonesia,9
202201080.json,CENG;CHEM,Bioinformatics;Plastics;Genetic Code Expansion;Hydrolases;Degradation,17
202203547.json,AGRI,Middle East;Opiinae;Fauna;Species diversity;Distribution;Hosts,0
