title,query_subject,subjects,keywords,cited_by
Εnvironmental Impact Assessment in the Wine Supply Chain. Empirical Study in an Organic Winery in the Island of Tinos,AGRI,Unknown,None,0
Multilevel analysis of land reallocation and carbon emissions through food trade,AGRI,Unknown,None,0
An improved lightweight ConvNeXt for rice classification,AGRI,Unknown,None,0
"Consumers' attitudes, perceptions and willingness to try hazelnut skins-fed beef",AGRI,Unknown,None,0
Assimilating FY-4A AGRI Data Based on a WRF-GSI NWP System and Its Impact on Precipitation Forecasts,AGRI,Unknown,None,0
"International Hydropower Development Conference, IHDC 2024",AGRI,Unknown,None,0
"Are agri-environmental schemes doing their job? Evidence from Biebrza National Park, Poland",AGRI,Unknown,None,0
Modeling and Simulation Analysis of Food Delivery Network in the Local Food Supply Chain with Multiple-Channel Multi-Objective Fresh Food Distribution,AGRI,Unknown,None,0
Pheno- and genotypic epidemiological characterization of Staphylococcus aureus isolated from bulk tank milk in Colombia,AGRI,Unknown,None,0
Multi-timescale collaborative operation of renewable energy-based power system and Agri-product supply chain considering dynamic energy consumption-based crop growth,AGRI,Unknown,None,0
The structure–function relationships and techno-functions of β-conglycinin,AGRI,Unknown,None,0
"Corn silk as an underutilized sustainable source of plant proteins: Extraction, fractionation, structure, and techno-functional properties",AGRI,Unknown,None,0
Successful combination of lactic acid bacteria and yeast fermentation and enzymatic treatment to re-cycle industrial bread by-products for bread making,AGRI,Unknown,None,0
Polyhydroxyalkanoates production from cheese whey under near-seawater salinity conditions,AGRI,Unknown,None,0
Information sharing and trust in organic agri-food chains,AGRI,Unknown,None,0
Trust and Supply Chains: Information Asymmetry in the Agri-Food Sector,AGRI,Unknown,None,0
Evaluation of carrot and agroindustrial residues for obtaining Tenebrio molitor (yellow mealworm) powder enriched in bioaccessible provitamin A and colourless carotenoids,AGRI,Unknown,None,0
Geraniol and hydrophobic geraniol:thymol eutectic mixtures: Structure and thermophysical characterization,AGRI,Unknown,None,0
Design of systems for plasma activated water (PAW) for agri-food applications,AGRI,Unknown,None,2
Optimizing sunflower yield: Understanding pollinator contribution to inform agri-environmental strategies,AGRI,Unknown,None,0
Why do open-farmland specialist birds prefer small fields? The evaluation of mechanisms using a cross-border study,AGRI,Unknown,None,0
A cross-regional ecological assessment of contaminants in soils intended for agri-food initiatives on Indigenous Peoples’ lands in Australia and Canada,AGRI,Unknown,None,0
Food waste and the effects of waste reduction in China's catering industry,AGRI,Unknown,None,0
The future of artificial intelligence-driven robotics: applications and implications,AGRI,Unknown,None,0
Externalities and sustainable agri-food system,AGRI,Unknown,None,0
Nano-enabled strategies in sustainable agriculture for enhanced crop productivity: A comprehensive review,AGRI,Unknown,None,0
Reusable Immobilized Lactobacillus futsaii CS3 for Enhanced GABA Synthesis using Low-Cost Substrates in Fermenter-Scale Batch and Fed-Batch Fermentations,AGRI,Unknown,None,0
The role of agricultural cooperatives in mitigating opportunism in the context of complying with sustainability requirements: empirical evidence from Spain,AGRI,Unknown,None,0
Advancing mango leaf variant identification with a robust multi-layer perceptron model,AGRI,Unknown,None,0
"Acute study and the absorption, distribution, and metabolomic profile of the natural compound propyl-propane-thiosulfonate from allium in rats",AGRI,Unknown,None,0
Detecting agri contaminants via nanomaterial immunosensors,AGRI,Unknown,None,0
Evaluating tracking bifacial solar PV based agrivoltaics system across the UK,AGRI,Unknown,None,0
Classification and structural analysis of value chain contracts for biodiversity conservation in the European Union,AGRI,Unknown,None,0
The relationship of firm ownership structure and sustainability performance in agri-food chains: A systematic literature review,AGRI,Unknown,None,0
Indicators for assessing the multifunctionality of agriculturally used grasslands,AGRI,Unknown,None,0
"Formulation and testing of cutting-edge food supplements tailored for glucose and oxidation controlling, converting artichoke by-products in inulin-rich antioxidant phytocomplex loaded into zein liposomes",AGRI,Unknown,None,0
Meat and the future of sustainable diets—Challenges and opportunities,AGRI,Unknown,None,1
"Impact of urbanization and planting structure on water footprint of food, cash, and feed crops in China's northern agro-pastoral ecotone",AGRI,Unknown,None,0
Enhancing ecosystem services through direct-seeded rice in middle Indo-Gangetic Plains: a comparative study of different rice establishment practices,AGRI,Unknown,None,0
Recovery and resilience of rural farms in sicily (Italy): The CoVid-19 pandemic and the Russia-Ukraine conflict,AGRI,Unknown,None,0
Conilon coffee: A critical review and bibliometric analysis for the agri-food industry,AGRI,Unknown,None,0
Functional and sensory evaluation of bread made from wheat flour fortified with wine byproducts,AGRI,Unknown,None,0
An Artemisia Sphaerocephala Krash gum/acrylic acid-based novel eco-friendly superabsorbent polymer: Its synthesis and properties promoting seed germination,AGRI,Unknown,None,0
Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,ARTS,Unknown,None,0
Immunoexpression of placental growth factor (PlGF) and soluble FMS-like tyrosine kinase 1 (sFlt-1) in the placental bed of preeclamptic women of African ancestry living with HIV infection,ARTS,Unknown,None,0
Towards answering analytical query over hierarchical histogram under untrusted servers,ARTS,Unknown,None,0
"Obesity, Metabolic Syndrome, and Obesity Paradox in Heart Failure: A Critical Evaluation",ARTS,Unknown,None,0
Wafer-Scale Vertical 1D GaN Nanorods/2D MoS<inf>2</inf>/PEDOT:PSS for Piezophototronic Effect-Enhanced Self-Powered Flexible Photodetectors,ARTS,Unknown,None,0
Treatment of Downbeat Nystagmus and Cerebellar Ataxia,ARTS,Unknown,None,0
Design and implementation of optimized 2D FIR symmetric filter architecture using modified McClellan transformation and CSD-CSE,ARTS,Unknown,None,0
Exploring Nanoscale Perovskite Materials for Next-Generation Photodetectors: A Comprehensive Review and Future Directions,ARTS,Unknown,None,1
Bimetallic Single-Atom Catalysts for Water Splitting,ARTS,Unknown,None,0
An effective steganographic technique for hiding the image data using the LSB technique,ARTS,Unknown,None,0
Survey of techniques to detect common weaknesses in program binaries,ARTS,Unknown,None,0
Automated raga recognition in Indian classical music using machine learning techniques,ARTS,Unknown,None,0
Energy Efficient and Throughput Oriented Route Optimization Models in the Internet of Vehicles: A Survey,ARTS,Unknown,None,0
Analysis of Computational Bibliometric Mapping in Multimedia for Art Learning Media Publications using VOSviewer,ARTS,Unknown,None,0
"NIVE: NeuroImaging Volumetric Extractor, a High-Performance Skull-Stripping Tool",ARTS,Unknown,None,2
An In-Depth Review of Predictive Methods for Oil and Gas Applications,ARTS,Unknown,None,0
Bibliometric Analysis of the Development of Publications in the Field of Learning Models and Fine Arts in the Form of Books and Articles using VOSviewer,ARTS,Unknown,None,0
Found Objects: Establishing Meaning at Different Scales,ARTS,Unknown,None,0
Mentoring Emerging Museum Professionals: Shaping the Future of the Curatorial Field with a Diverse Undergraduate Fellowship Program,ARTS,Unknown,None,0
The Evaluation and Practices of Social Inclusion in Chilean Art Museums,ARTS,Unknown,None,0
Visual Art Accessibility and Art Experience for the Blind and Visually Impaired,ARTS,Unknown,None,0
Modeling and estimation of CO<inf>2</inf> capture by porous liquids through machine learning,ARTS,Unknown,None,0
Hydroxyl and amino co-modified imidazole based ionic liquid functionalized TS-1 molecular sieve for efficient CO<inf>2</inf> capture,ARTS,Unknown,None,0
Hexafluoroisopropanol-based deep eutectic solvents for efficient aqueous two-phase extraction of flavonoids from Flos Sophorae Immaturus,ARTS,Unknown,None,0
High-redshift cosmology by Gamma-Ray Bursts: An overview,ARTS,Unknown,None,0
HFNet: Semantic and Differential Heterogenous Fusion Network for Remote Sensing Image Change Detection,ARTS,Unknown,None,0
Resilience in higher education during the COVID-19 pandemic: A scoping literature review with implications for evidence-informed policymaking,ARTS,Unknown,None,0
Evoattack: suppressive adversarial attacks against object detection models using evolutionary search,ARTS,Unknown,None,0
Multi-objective improvement of Android applications,ARTS,Unknown,None,0
Contractsentry: a static analysis tool for smart contract vulnerability detection,ARTS,Unknown,None,0
Approximate Square and Square Root Calculation without Multiplication or Division for DSP Applications,ARTS,Unknown,None,0
Increasing Museum Accessibility for People with Visual Impairment Using Product Development and Additive Manufacturing,ARTS,Unknown,None,0
Enhanced bacterial and virus disinfection with copper nanoparticle optimized LIG composite electrodes and filters,ARTS,Unknown,None,0
Borophene-based nanomaterials: Promising candidates for next-generation gas/vapor chemiresistors,ARTS,Unknown,None,1
Realizing overall trade-off of barocaloric performances in 1-bromoadamantane-graphene composites,ARTS,Unknown,None,0
A robust parameterized enhanced shift-splitting preconditioner for three-by-three block saddle point problems,ARTS,Unknown,None,0
FTAN: Feature Transform and Alignment Network for cross-domain specific emitter identification,ARTS,Unknown,None,0
Hybrid multivariate time series prediction system fusing transfer entropy and local relative density,ARTS,Unknown,None,0
Physical prior-guided deep fusion network with shading cues for shape from polarization,ARTS,Unknown,None,0
FedKD-IDS: A robust intrusion detection system using knowledge distillation-based semi-supervised federated learning and anti-poisoning attack mechanism,ARTS,Unknown,None,0
Sparse Bayesian Learning with Jeffreys’ Noninformative Prior for Off-Grid DOA Estimation,ARTS,Unknown,None,0
IF-USOD: Multimodal information fusion interactive feature enhancement architecture for underwater salient object detection,ARTS,Unknown,None,0
Developing an inquiry-based STEAM teaching packet in ecoliteracy for pre-service teachers,ARTS,Unknown,None,0
FLAPS: fluctuation-aware power auction strategy for reducing the power overload probability,ARTS,Unknown,None,0
Interpretation with baseline shapley value for feature groups on tree models,ARTS,Unknown,None,0
Art-training project: A teaching strategy for tutor training,ARTS,Unknown,None,0
Crafting very low frequency magnetoelectric antenna via piezoelectric and electromechanical synergic optimization strategy,ARTS,Unknown,None,0
"A review of energy intensification strategies for distillation processes: Cyclic operation, stacking, heat pumps, side-streams, dividing walls and beyond",ARTS,Unknown,None,0
Anion substitution strategy for constructing abundant oxygen vacancies in perovskites enables efficient nitrate electroreduction,ARTS,Unknown,None,0
Deep Smart Cities: A Review of Smart Cities Applications-Based an Inference of Deep Learning Upon IoT Devices,ARTS,Unknown,None,1
Significant changes in the physicochemical properties of BC-containing particles during the cold season in Beijing,ARTS,Unknown,None,0
State of the art and current trends on the metal corrosion and protection strategies in deep sea,ARTS,Unknown,None,0
SEMACOL: Semantic-enhanced multi-scale approach for text-guided grayscale image colorization,ARTS,Unknown,None,0
Unsupervised evaluation for out-of-distribution detection,ARTS,Unknown,None,0
A proposal-level class-aware graph convolutional network and memory bank for thyroid nodule detection in ultrasound videos,ARTS,Unknown,None,0
DIEN: A dual-factor iterative enhancement network with the global Re-calibration feature for coronary artery segmentation,ARTS,Unknown,None,0
Block-based inverse lithography technology with adaptive level-set algorithm,ARTS,Unknown,None,0
Distilling heterogeneous knowledge with aligned biological entities for histological image classification,ARTS,Unknown,None,0
Multi-layer multi-level comprehensive learning for deep multi-view clustering,ARTS,Unknown,None,0
Flare-aware cross-modal enhancement network for multi-spectral vehicle Re-identification,ARTS,Unknown,None,0
Adaptive three-dimensional histogram modification for JPEG reversible data hiding,ARTS,Unknown,None,0
CDHN: Cross-domain hallucination network for 3D keypoints estimation,ARTS,Unknown,None,0
FocTrack: Focus attention for visual tracking,ARTS,Unknown,None,0
RNDiff: Rainfall nowcasting with Condition Diffusion Model,ARTS,Unknown,None,0
"Percept, Chat, Adapt: Knowledge transfer of foundation models for open-world video recognition",ARTS,Unknown,None,0
Clustered Reinforcement Learning,ARTS,Unknown,None,0
BiFPN-YOLO: One-stage object detection integrating Bi-Directional Feature Pyramid Networks,ARTS,Unknown,None,0
Specific and coupled double consistency multi-view subspace clustering with low-rank tensor learning,ARTS,Unknown,None,0
Tensorized latent representation with automatic dimensionality selection for multi-view clustering,ARTS,Unknown,None,0
Learning data association for multi-object tracking using only coordinates,ARTS,Unknown,None,0
Lightweight remote sensing super-resolution with multi-scale graph attention network,ARTS,Unknown,None,0
Explainable monotonic networks and constrained learning for interpretable classification and weakly supervised anomaly detection,ARTS,Unknown,None,0
STARNet: Low-light video enhancement using spatio-temporal consistency aggregation,ARTS,Unknown,None,0
Gradient-based sparse voxel attacks on point cloud object detection,ARTS,Unknown,None,0
Two-stage Rule-induction visual reasoning on RPMs with an application to video prediction,ARTS,Unknown,None,0
WS<inf>2</inf>-MoS<inf>2</inf>-biocarbon heterostructure for high-performance potassium ion storage,BIOC,Unknown,None,0
"Biocompatibility, bioactivity, porosity, and sealer/dentin interface of bioceramic ready-to-use sealers using a dentin-tube model",BIOC,Unknown,None,0
Improving replicability in single-cell RNA-Seq cell type discovery with Dune,BIOC,Unknown,None,0
Advances and prospects in microbial production of biotin,BIOC,Unknown,None,3
cytoviewer: an R/Bioconductor package for interactive visualization and exploration of highly multiplexed imaging data,BIOC,Unknown,None,1
The effect of bioC gene on ultraviolet radiation and oxidative resistance of Bacillus thuringiensis (Bacillales: Bacillaceae),BIOC,Unknown,None,0
Sustainable biocomposites from pyrolyzed lignin and recycled nylon 6 with enhanced flame retardant behavior: Studies on manufacturing and quality performance evaluation,BIOC,Unknown,None,0
A facile dual isolation and protection strategy for preparation of PtFe intermetallic compound in biomass-derived carbon with high activity and durability for pH-universal bifunctional electrocatalysts,BIOC,Unknown,None,1
Electrochemical Enrichment of Biocharcoal Modified on Carbon Electrodes for the Detection of Nitrite and Paraxon Ethyl Pesticide,BIOC,Unknown,None,0
Preparation of Pt<sup>(II/IV)</sup>Cl<inf>x</inf>/BiOHC<inf>2</inf>O<inf>4</inf>/Bi<inf>2</inf>O<inf>2</inf>CO<inf>3</inf> composite microrods with enhanced photocatalytic performance for levofloxacin degradation in water,BIOC,Unknown,None,2
Regional analysis to delineate intrasample heterogeneity with RegionalST,BIOC,Unknown,None,0
Mapping protein–RNA binding in plants with individual-nucleotide-resolution UV cross-linking and immunoprecipitation (plant iCLIP2),BIOC,Unknown,None,2
The biotin synthesis pathway in Mycobacteria tuberculosis is a new target for the development of anti-tuberculosis drugs,BIOC,Unknown,None,0
"Evaluation of Antimicrobial Properties, Cell Viability, and Metalloproteinase Activity of Bioceramic Endodontic Materials Used in Vital Pulp Therapy",BIOC,Unknown,None,2
"Breaking the cycle: Effect of a multi-agency maternity service redesign on reducing the over-representation of Aboriginal and Torres Strait Islander newborns in out-of-home care: A prospective, non-randomised, intervention study in urban Australia",BIOC,Unknown,None,0
epidecodeR: a functional exploration tool for epigenetic and epitranscriptomic regulation,BIOC,Unknown,None,0
Physicochemical feature enhancement of bioethanol through the fermentative parameter optimization,BIOC,Unknown,None,2
"Dataset of clinical cases, images, image labels and captions from open access case reports from PubMed Central (1990–2023)",BIOC,Unknown,None,0
Erratum: Probabilistic cell/domain-type assignment of spatial transcriptomics data with SpatialAnno (Nucleic Acids Research (2023) 51:22 (e115) DOI: 10.1093/nar/gkad1023),BIOC,Unknown,None,0
Effects of soil physical ameliorants on the growth and root morphology of Prunus yedoensis and Ginkgo biloba seedlings in compacted soils,BIOC,Unknown,None,0
Molecular Docking of Phytomolecules of Grain Amaranth (Amaranthus hypochondriacus) with AKR1C3 Protein Involved in Prostate Cancer in Human Beings,BIOC,Unknown,None,0
Antibiofilm Properties and Demineralization Suppression in Early Enamel Lesions Using Dental Coating Materials,BIOC,Unknown,None,3
Computational Pipeline for Analysis of Biomedical Networks with BioNAR,BIOC,Unknown,None,0
Outcomes of inferior oblique myectomy versus recession combined with lateral rectus recession in V-pattern exotropias,BIOC,Unknown,None,0
Relating mutational signature exposures to clinical data in cancers via signeR 2.0,BIOC,Unknown,None,0
Rescuing biologically relevant consensus regions across replicated samples,BIOC,Unknown,None,0
Matrix Stiffness Activating YAP/TEAD1-Cyclin B1 in Nucleus Pulposus Cells Promotes Intervertebral Disc Degeneration,BIOC,Unknown,None,3
"Metallic-like boron-modified bio-carbon electrodes for simultaneous electroanalysis for Cd<sup>2+</sup>, Pb<sup>2+</sup> and Cu<sup>2+</sup>: Theoretical insight into the role of C<inf>x</inf>BO<inf>y</inf>(H)",BIOC,Unknown,None,7
High performance polyphenylene sulfide biocomposites with lightweight and sustainable hybrid fillers: biocarbon and recycled carbon fibers,BIOC,Unknown,None,4
Hydraulic calcium silicate-based root canal sealers mitigate proinflammatory cytokine synthesis and promote osteogenesis in vitro,BIOC,Unknown,None,7
Development of Novel Balloon-Integrated Optical Catheter for Endoscopic and Circumferential Laser Application,BIOC,Unknown,None,2
Electron delocalization of robust high-nuclear bismuth-oxo clusters for promoted CO<inf>2</inf> electroreduction,BIOC,Unknown,None,12
Biotinylated caffeic acid covalent binding with myofibrillar proteins in alkaline conditions: Identification of protein-phenol adducts and alterations in protein properties,BIOC,Unknown,None,8
"Biocompatibility, bioactive potential, porosity, and interface analysis calcium silicate repair cements in a dentin tube model",BIOC,Unknown,None,7
Overcoming the impacts of two-step batch effect correction on gene expression estimation and inference,BIOC,Unknown,None,11
Valorization of Pyrolyzed Biomass Residues for the Transformation of Waste Cooking Oil into Green Diesel,BIOC,Unknown,None,3
Nitrogen-doped biochar-supported metal catalysts: High efficiency in both catalytic transfer hydrogenation of furfural and electrocatalytic oxygen reactions,BIOC,Unknown,None,16
Birthing on country service compared to standard care for First Nations Australians: a cost-effectiveness analysis from a health system perspective,BIOC,Unknown,None,8
Adsorption behavior of molybdenum onto K-doped γ-Al<inf>2</inf>O<inf>3</inf>and iron clay nanocomposite,BIOC,Unknown,None,1
Deciphering biochar compost co-application impact on microbial communities mediating carbon and nitrogen transformation across different stages of corn development,BIOC,Unknown,None,13
Quality and quantity of humic-like and fulvic-like acids entrapped in biochars – The effect of various forestry feedstock and pyrolysis temperature of biochars,BIOC,Unknown,None,11
SVM-DO: identification of tumor-discriminating mRNA signatures via support vector machines supported by Disease Ontology,BIOC,Unknown,None,0
Different culture media and purification methods unveil the core proteome of Propionibacterium freudenreichii-derived extracellular vesicles,BIOC,Unknown,None,5
Evaluation of the apical sealing of an eggshell hydroxyapatite-based sealer,BIOC,Unknown,None,1
Katdetectr: an R/bioconductor package utilizing unsupervised changepoint analysis for robust kataegis detection,BIOC,Unknown,None,2
Molecular Docking Studies for Evaluation of Amaranth Grain Squalene for Treatment of Melanoma Skin Cancer in Human Beings,BIOC,Unknown,None,1
Epimutation detection in the clinical context: guidelines and a use case from a new Bioconductor package,BIOC,Unknown,None,0
EasyCellType: marker-based cell-type annotation by automatically querying multiple databases,BIOC,Unknown,None,3
Evaluation of Using Biochar and Compost on Soil and Olive Tree Water Status,BIOC,Unknown,None,1
CHARACTERISTICS OF BIOCHAR PRODUCED FROM CELLULOSE FOR CAPTURE OF ATMOSPHERIC CO<inf>2</inf>,BIOC,Unknown,None,0
Research on the Gasification Characteristic of Cokes of BIOC-HPC Extracted from the Mixture of Low-Rank Coal and Biomass,BIOC,Unknown,None,0
"Corrigendum:Construction and validation of a robust prognostic model based on immune features in sepsis (Frontiers in Immunology, (2022), 13, (994295), 10.3389/fimmu.2022.994295)",BIOC,Unknown,None,0
Evaluation of pH and calcium ions release of two tricalcium silicate-based sealers through roots of primary teeth,BIOC,Unknown,None,3
The opportunistic pathogen Pseudomonas aeruginosa exploits bacterial biotin synthesis pathway to benefit its infectivity,BIOC,Unknown,None,8
scShapes: a statistical framework for identifying distribution shapes in single-cell RNA-sequencing data,BIOC,Unknown,None,2
Cogito: automated and generic comparison of annotated genomic intervals,BIOC,Unknown,None,0
GenomicDistributions: fast analysis of genomic intervals with Bioconductor,BIOC,Unknown,None,6
FindIT2: an R/Bioconductor package to identify influential transcription factor and targets based on multi-omics data,BIOC,Unknown,None,3
Magnetic Fe<inf>2</inf>O<inf>3</inf>/biochar composite prepared in a molten salt medium for antibiotic removal in water,BIOC,Unknown,None,50
"A novel efficient electrocatalyst for oxygen reduction and oxygen evolution reaction in Li-O<inf>2</inf> batteries: Co/CoSe embedded N, Se co-doped carbon",BIOC,Unknown,None,39
A reproducible experimental survey on biomedical sentence similarity: A string-based method sets the state of the art,BIOC,Unknown,None,0
Ezetimibe Prevents IL-1β-induced Inflammatory Reaction in Mouse Chondrocytes via Modulating NF-κB and Nrf2/HO-1 Signaling Crosstalk,BIOC,Unknown,None,8
The structural characteristics and gasification performance of cokes of modified coal extracted from the mixture of low-rank coal and biomass,BIOC,Unknown,None,8
Detecting and quantifying antibody reactivity in PhIP-Seq data with BEER,BIOC,Unknown,None,5
Immediate and Long-Term Radiopacity and Surface Morphology of Hydraulic Calcium Silicate-Based Materials,BIOC,Unknown,None,4
Identification of cell-type-specific spatially variable genes accounting for excess zeros,BIOC,Unknown,None,6
SubCellBarCode: integrated workflow for robust spatial proteomics by mass spectrometry,BIOC,Unknown,None,2
Biologically inspired intraoral camera for multifunctional dental imaging,BIOC,Unknown,None,2
"Three enigmatic BioH isoenzymes are programmed in the early stage of mycobacterial biotin synthesis, an attractive anti-TB drug target",BIOC,Unknown,None,7
"Subclinical endometritis differentially affects the transcriptomic profiles of endometrial glandular, luminal, and stromal cells of postpartum dairy cows",BIOC,Unknown,None,7
Guitar2: An improved version of the Guitar for sketching the transcriptomic view of RNA-related biological features,BIOC,Unknown,None,4
Investigating the adsorption behavior of functional biochar-based porous composite for efficiently removing Cu(ii) in aqueous solution,BIOC,Unknown,None,2
COVID-19 Biomarkers Recognition &amp; Classification Using Intelligent Systems,BIOC,Unknown,None,3
Silicon Nitride as a Biomedical Material: An Overview,BIOC,Unknown,None,37
spicyR: spatial analysis of in situ cytometry data in R,BIOC,Unknown,None,17
Multi-level Feature Attention Network for medical image segmentation,BUSI,Unknown,None,0
Pyramid boundary attention network for breast lesion segmentation in ultrasound images,BUSI,Unknown,None,0
MAR-GAN: Multi attention residual generative adversarial network for tumor segmentation in breast ultrasounds,BUSI,Unknown,None,0
Selective and multi-scale fusion Mamba for medical image segmentation,BUSI,Unknown,None,1
DS&amp;STM-Net: A novel hybrid network of feature mutual fusion for medical image segmentation,BUSI,Unknown,None,0
CWC-MP-MC Image-based breast tumor classification using an optimized Vision Transformer (ViT),BUSI,Unknown,None,0
LD-BSAM: Combined Latent Diffusion with Bounding SAM for HIFU Target Region Segmentation,BUSI,Unknown,None,0
Segment anything model for few-shot medical image segmentation with domain tuning,BUSI,Unknown,None,0
"A multi-scale, multi-task fusion UNet model for accurate breast tumor segmentation",BUSI,Unknown,None,0
Domesticating SAM for Breast Ultrasound Image Segmentation via Spatial-Frequency Fusion and Uncertainty Correction,BUSI,Unknown,None,0
Swin transformer-based fork architecture for automated breast tumor classification,BUSI,Unknown,None,0
Graph Neural Network Enhanced Dual-Branch Network for lesion segmentation in ultrasound images,BUSI,Unknown,None,0
DPNet: a dual-attention patching network for breast tumor segmentation in an ultrasound image,BUSI,Unknown,None,0
"Role of inter- and extra-lesion tissue, transfer learning, and fine-tuning in the robust classification of breast lesions",BUSI,Unknown,None,0
Attention based UNet model for breast cancer segmentation using BUSI dataset,BUSI,Unknown,None,0
Attention-enriched deeper UNet (ADU-NET) for disease diagnosis in breast ultrasound and retina fundus images,BUSI,Unknown,None,1
CascadeMedSeg: integrating pyramid vision transformer with multi-scale fusion for precise medical image segmentation,BUSI,Unknown,None,0
Revolutionizing breast ultrasound diagnostics with EfficientNet-B7 and Explainable AI,BUSI,Unknown,None,0
Unified semantic model for medical image segmentation,BUSI,Unknown,None,1
Spatial and geometric learning for classification of breast tumors from multi-center ultrasound images: a hybrid learning approach,BUSI,Unknown,None,0
A neural network with a human learning paradigm for breast fibroadenoma segmentation in sonography,BUSI,Unknown,None,0
The role of social media marketing and marketing management promoting and developing brand sustainability strategy,BUSI,Unknown,None,2
VMC-UNet: A Vision Mamba-CNN U-Net for Tumor Segmentation in Breast Ultrasound Image,BUSI,Unknown,None,0
ACL-DUNet: A tumor segmentation method based on multiple attention and densely connected breast ultrasound images,BUSI,Unknown,None,0
US-Net: U-shaped network with Convolutional Attention Mechanism for ultrasound medical images,BUSI,Unknown,None,2
SECA-Net: Squeezed-and-excitated contextual attention network for medical image segmentation,BUSI,Unknown,None,1
The Effect Of Social Media On The Travel Decision-Making Process For Glamping Businesses,BUSI,Unknown,None,0
Automated Classification and Segmentation and Feature Extraction from Breast Imaging Data,BUSI,Unknown,None,0
An improved medical image segmentation framework with Channel-Height-Width-Spatial attention module,BUSI,Unknown,None,1
Innovative Marketing Services in Business Practice,BUSI,Unknown,None,0
Medical Image Segmentation Method with Integrated Self-attention,BUSI,Unknown,None,0
A Multi-Organ Segmentation Network Based on Densely Connected RL-Unet,BUSI,Unknown,None,0
Early Breast Cancer Detection Using Artificial Intelligence Techniques Based on Advanced Image Processing Tools,BUSI,Unknown,None,0
STU<sup>3</sup>Net: An Improved U-Net With Swin Transformer Fusion for Thyroid Nodule Segmentation,BUSI,Unknown,None,0
