,title,cited_by_count,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
11,"Riparian buffer strips promote biomass, species richness and abundance of flying insects in agricultural landscapes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Quantifying the environmental fate and source of nitrate contamination using dual-isotope tracing coupled with nitrogen cascade model on the basin scale,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Advances in enhancement-type signal tracers and analysis strategies driven Lateral flow immunoassay for guaranteeing the agri-food safety,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Securing food authenticity by translating triacylglycerol profiles of edible oils into a versatile identification method for pumpkin seed oil adulteration,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Fire safe and sustainable lightweight materials based on Layer-by-Layer coated keratin fibers from tannery wastes,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Demo of the Agri-RO5 Architecture for Agrirobot Fleet Simulation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Comprehensive analysis and experimental study on the novel intermittent solar-electric onion drying technology,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,BLOCKCHAIN IN RESILIENT AND LEAGILE SUPPLY CHAINS: RESEARCH THEMES AND OPPORTUNITIES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Quality control of agricultural products using magnetic resonance sensors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Linking the Path to Zero Hunger: Analysing Sustainable Development Goals Within the Context of Global Sustainability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Reducing fertilizer and pesticide application through mandatory agri-environmental regulation: Insights from “Two Zero” policy in China,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"The Change towards the Integration of Agri-environmental Practices (CIAEP) into farmer's practices system: An affective, cognitive, and behavioural process",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Development of Digital Capabilities for E-commerce Agribusiness: An Exploratory Research,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,The Water-Land-Food nexus reveals growing resource export pressure in middle-income economies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Lab-scale biocomposite manufacturing: Exploring rice bran-based bioplastics reinforced with natural fillers through extrusion and injection molding,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"11th Workshop on Engineering Applications, WEA 2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Optimization Models for the Development of the Agricultural Sector in Rural Territories,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Simulation Model for the Strategic Analysis of a Cassava Starch Production Company: A Case Study,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,The Role of Consumers in the Honey Supply Chain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Location Model of Rural Centers as Logistical Support of the Agri-Food Supply Chain in the Sabanas Subregion, Department of Sucre",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Εnvironmental Impact Assessment in the Wine Supply Chain. Empirical Study in an Organic Winery in the Island of Tinos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Multilevel analysis of land reallocation and carbon emissions through food trade,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,An improved lightweight ConvNeXt for rice classification,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Consumers' attitudes, perceptions and willingness to try hazelnut skins-fed beef",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Assimilating FY-4A AGRI Data Based on a WRF-GSI NWP System and Its Impact on Precipitation Forecasts,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"International Hydropower Development Conference, IHDC 2024",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Are agri-environmental schemes doing their job? Evidence from Biebrza National Park, Poland",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Modeling and Simulation Analysis of Food Delivery Network in the Local Food Supply Chain with Multiple-Channel Multi-Objective Fresh Food Distribution,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Pheno- and genotypic epidemiological characterization of Staphylococcus aureus isolated from bulk tank milk in Colombia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Multi-timescale collaborative operation of renewable energy-based power system and Agri-product supply chain considering dynamic energy consumption-based crop growth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,The structure–function relationships and techno-functions of β-conglycinin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"Corn silk as an underutilized sustainable source of plant proteins: Extraction, fractionation, structure, and techno-functional properties",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Successful combination of lactic acid bacteria and yeast fermentation and enzymatic treatment to re-cycle industrial bread by-products for bread making,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Polyhydroxyalkanoates production from cheese whey under near-seawater salinity conditions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Information sharing and trust in organic agri-food chains,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Trust and Supply Chains: Information Asymmetry in the Agri-Food Sector,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Evaluation of carrot and agroindustrial residues for obtaining Tenebrio molitor (yellow mealworm) powder enriched in bioaccessible provitamin A and colourless carotenoids,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Geraniol and hydrophobic geraniol:thymol eutectic mixtures: Structure and thermophysical characterization,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Design of systems for plasma activated water (PAW) for agri-food applications,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Optimizing sunflower yield: Understanding pollinator contribution to inform agri-environmental strategies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Why do open-farmland specialist birds prefer small fields? The evaluation of mechanisms using a cross-border study,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,A cross-regional ecological assessment of contaminants in soils intended for agri-food initiatives on Indigenous Peoples’ lands in Australia and Canada,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Food waste and the effects of waste reduction in China's catering industry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,The future of artificial intelligence-driven robotics: applications and implications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Externalities and sustainable agri-food system,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Nano-enabled strategies in sustainable agriculture for enhanced crop productivity: A comprehensive review,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Reusable Immobilized Lactobacillus futsaii CS3 for Enhanced GABA Synthesis using Low-Cost Substrates in Fermenter-Scale Batch and Fed-Batch Fermentations,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,The role of agricultural cooperatives in mitigating opportunism in the context of complying with sustainability requirements: empirical evidence from Spain,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Advancing mango leaf variant identification with a robust multi-layer perceptron model,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Acute study and the absorption, distribution, and metabolomic profile of the natural compound propyl-propane-thiosulfonate from allium in rats",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Detecting agri contaminants via nanomaterial immunosensors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Evaluating tracking bifacial solar PV based agrivoltaics system across the UK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Classification and structural analysis of value chain contracts for biodiversity conservation in the European Union,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,The relationship of firm ownership structure and sustainability performance in agri-food chains: A systematic literature review,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Indicators for assessing the multifunctionality of agriculturally used grasslands,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Formulation and testing of cutting-edge food supplements tailored for glucose and oxidation controlling, converting artichoke by-products in inulin-rich antioxidant phytocomplex loaded into zein liposomes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Meat and the future of sustainable diets—Challenges and opportunities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Impact of urbanization and planting structure on water footprint of food, cash, and feed crops in China's northern agro-pastoral ecotone",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Enhancing ecosystem services through direct-seeded rice in middle Indo-Gangetic Plains: a comparative study of different rice establishment practices,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Recovery and resilience of rural farms in sicily (Italy): The CoVid-19 pandemic and the Russia-Ukraine conflict,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Conilon coffee: A critical review and bibliometric analysis for the agri-food industry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Functional and sensory evaluation of bread made from wheat flour fortified with wine byproducts,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,An Artemisia Sphaerocephala Krash gum/acrylic acid-based novel eco-friendly superabsorbent polymer: Its synthesis and properties promoting seed germination,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Mesenchymal stem cells and mesenchymal stem cell-derived exosomes: attractive therapeutic approaches for female reproductive dysfunction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Immunoexpression of placental growth factor (PlGF) and soluble FMS-like tyrosine kinase 1 (sFlt-1) in the placental bed of preeclamptic women of African ancestry living with HIV infection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Towards answering analytical query over hierarchical histogram under untrusted servers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,"Obesity, Metabolic Syndrome, and Obesity Paradox in Heart Failure: A Critical Evaluation",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Wafer-Scale Vertical 1D GaN Nanorods/2D MoS<inf>2</inf>/PEDOT:PSS for Piezophototronic Effect-Enhanced Self-Powered Flexible Photodetectors,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Treatment of Downbeat Nystagmus and Cerebellar Ataxia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Design and implementation of optimized 2D FIR symmetric filter architecture using modified McClellan transformation and CSD-CSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Exploring Nanoscale Perovskite Materials for Next-Generation Photodetectors: A Comprehensive Review and Future Directions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Bimetallic Single-Atom Catalysts for Water Splitting,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,An effective steganographic technique for hiding the image data using the LSB technique,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Survey of techniques to detect common weaknesses in program binaries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Automated raga recognition in Indian classical music using machine learning techniques,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Energy Efficient and Throughput Oriented Route Optimization Models in the Internet of Vehicles: A Survey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Analysis of Computational Bibliometric Mapping in Multimedia for Art Learning Media Publications using VOSviewer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"NIVE: NeuroImaging Volumetric Extractor, a High-Performance Skull-Stripping Tool",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,An In-Depth Review of Predictive Methods for Oil and Gas Applications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Bibliometric Analysis of the Development of Publications in the Field of Learning Models and Fine Arts in the Form of Books and Articles using VOSviewer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Found Objects: Establishing Meaning at Different Scales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Mentoring Emerging Museum Professionals: Shaping the Future of the Curatorial Field with a Diverse Undergraduate Fellowship Program,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,The Evaluation and Practices of Social Inclusion in Chilean Art Museums,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Visual Art Accessibility and Art Experience for the Blind and Visually Impaired,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Modeling and estimation of CO<inf>2</inf> capture by porous liquids through machine learning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Hydroxyl and amino co-modified imidazole based ionic liquid functionalized TS-1 molecular sieve for efficient CO<inf>2</inf> capture,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Hexafluoroisopropanol-based deep eutectic solvents for efficient aqueous two-phase extraction of flavonoids from Flos Sophorae Immaturus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,High-redshift cosmology by Gamma-Ray Bursts: An overview,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,HFNet: Semantic and Differential Heterogenous Fusion Network for Remote Sensing Image Change Detection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Resilience in higher education during the COVID-19 pandemic: A scoping literature review with implications for evidence-informed policymaking,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Evoattack: suppressive adversarial attacks against object detection models using evolutionary search,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Multi-objective improvement of Android applications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Contractsentry: a static analysis tool for smart contract vulnerability detection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Approximate Square and Square Root Calculation without Multiplication or Division for DSP Applications,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Increasing Museum Accessibility for People with Visual Impairment Using Product Development and Additive Manufacturing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Enhanced bacterial and virus disinfection with copper nanoparticle optimized LIG composite electrodes and filters,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Borophene-based nanomaterials: Promising candidates for next-generation gas/vapor chemiresistors,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Realizing overall trade-off of barocaloric performances in 1-bromoadamantane-graphene composites,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,A robust parameterized enhanced shift-splitting preconditioner for three-by-three block saddle point problems,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,FTAN: Feature Transform and Alignment Network for cross-domain specific emitter identification,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Hybrid multivariate time series prediction system fusing transfer entropy and local relative density,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Physical prior-guided deep fusion network with shading cues for shape from polarization,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,FedKD-IDS: A robust intrusion detection system using knowledge distillation-based semi-supervised federated learning and anti-poisoning attack mechanism,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Sparse Bayesian Learning with Jeffreys’ Noninformative Prior for Off-Grid DOA Estimation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,IF-USOD: Multimodal information fusion interactive feature enhancement architecture for underwater salient object detection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Developing an inquiry-based STEAM teaching packet in ecoliteracy for pre-service teachers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,FLAPS: fluctuation-aware power auction strategy for reducing the power overload probability,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Interpretation with baseline shapley value for feature groups on tree models,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Art-training project: A teaching strategy for tutor training,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Crafting very low frequency magnetoelectric antenna via piezoelectric and electromechanical synergic optimization strategy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"A review of energy intensification strategies for distillation processes: Cyclic operation, stacking, heat pumps, side-streams, dividing walls and beyond",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Anion substitution strategy for constructing abundant oxygen vacancies in perovskites enables efficient nitrate electroreduction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Deep Smart Cities: A Review of Smart Cities Applications-Based an Inference of Deep Learning Upon IoT Devices,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Significant changes in the physicochemical properties of BC-containing particles during the cold season in Beijing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,State of the art and current trends on the metal corrosion and protection strategies in deep sea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,SEMACOL: Semantic-enhanced multi-scale approach for text-guided grayscale image colorization,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Unsupervised evaluation for out-of-distribution detection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,A proposal-level class-aware graph convolutional network and memory bank for thyroid nodule detection in ultrasound videos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,DIEN: A dual-factor iterative enhancement network with the global Re-calibration feature for coronary artery segmentation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Block-based inverse lithography technology with adaptive level-set algorithm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Distilling heterogeneous knowledge with aligned biological entities for histological image classification,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Multi-layer multi-level comprehensive learning for deep multi-view clustering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Flare-aware cross-modal enhancement network for multi-spectral vehicle Re-identification,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Adaptive three-dimensional histogram modification for JPEG reversible data hiding,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,CDHN: Cross-domain hallucination network for 3D keypoints estimation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,FocTrack: Focus attention for visual tracking,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,RNDiff: Rainfall nowcasting with Condition Diffusion Model,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,"Percept, Chat, Adapt: Knowledge transfer of foundation models for open-world video recognition",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Clustered Reinforcement Learning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,BiFPN-YOLO: One-stage object detection integrating Bi-Directional Feature Pyramid Networks,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Specific and coupled double consistency multi-view subspace clustering with low-rank tensor learning,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Tensorized latent representation with automatic dimensionality selection for multi-view clustering,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
